Date,Ticker,Weight (%)
2021-05-31,ATGL,2.5671
2021-05-31,ADANIENT,4.7651
2021-05-31,SPLPETRO,0.1917
2021-05-31,HINDCOPPER,0.4646
2021-05-31,INTELLECT,0.5171
2021-05-31,ADANIENSOL,3.9037
2021-05-31,SAREGAMA,0.1534
2021-05-31,PGEL,0.0492
2021-05-31,ELECON,0.0366
2021-05-31,ANANTRAJ,0.0602
2021-05-31,GRAPHITE,0.3465
2021-05-31,GPIL,0.398
2021-05-31,TATAELXSI,0.8751
2021-05-31,SAIL,1.1473
2021-05-31,TATASTEEL,5.0
2021-05-31,TATACHEM,0.7376
2021-05-31,JSWSTEEL,4.1494
2021-05-31,DIXON,0.8927
2021-05-31,DEEPAKNTR,0.8206
2021-05-31,APLAPOLLO,0.7779
2021-05-31,CGPOWER,0.3879
2021-05-31,POLYMED,0.2219
2021-05-31,PERSISTENT,0.8116
2021-05-31,IIFL,0.3362
2021-05-31,CDSL,0.514
2021-05-31,NEULANDLAB,0.0626
2021-05-31,MAXHEALTH,0.9433
2021-05-31,POONAWALLA,0.2617
2021-05-31,VEDL,1.2473
2021-05-31,CAMS,0.6573
2021-05-31,ADANIPORTS,3.5554
2021-05-31,HEG,0.1036
2021-05-31,IEX,0.4484
2021-05-31,LINDEINDIA,0.1482
2021-05-31,TATAPOWER,0.8622
2021-05-31,JINDALSTEL,0.7407
2021-05-31,TIINDIA,0.6174
2021-05-31,THERMAX,0.2222
2021-05-31,LAURUSLABS,0.8855
2021-05-31,GRASIM,2.4361
2021-05-31,NATIONALUM,0.2387
2021-05-31,CYIENT,0.2811
2021-05-31,JSWENERGY,0.3064
2021-05-31,ELGIEQUIP,0.1771
2021-05-31,KPRMILL,0.1569
2021-05-31,HINDALCO,2.4391
2021-05-31,SARDAEN,0.0143
2021-05-31,MMTC,0.0399
2021-05-31,CHOLAFIN,1.0491
2021-05-31,CARBORUNIV,0.3002
2021-05-31,OLECTRA,0.0115
2021-05-31,TEJASNET,0.0602
2021-05-31,POWERINDIA,0.1015
2021-05-31,CUMMINSIND,0.4051
2021-05-31,DALBHARAT,0.5236
2021-05-31,AFFLE,0.2645
2021-05-31,ASTRAL,0.6779
2021-05-31,WIPRO,3.0514
2021-05-31,KPITTECH,0.1561
2021-05-31,GRAVITA,0.0124
2021-05-31,BAJAJFINSV,2.5844
2021-05-31,FACT,0.0033
2021-05-31,NMDC,0.4637
2021-05-31,DCMSHRIRAM,0.0954
2021-05-31,TMPV,2.3887
2021-05-31,SONATSOFTW,0.1375
2021-05-31,ADANIPOWER,0.3543
2021-05-31,USHAMART,0.0243
2021-05-31,ACE,0.0227
2021-05-31,FSL,0.1425
2021-05-31,FORTIS,0.3962
2021-05-31,MAHABANK,0.1507
2021-05-31,KAJARIACER,0.2703
2021-05-31,INDIAMART,0.3248
2021-05-31,SCI,0.0603
2021-05-31,JKCEMENT,0.3183
2021-05-31,LTTS,0.2322
2021-05-31,ECLERX,0.0555
2021-05-31,SUNDARMFIN,0.5632
2021-05-31,CGCL,0.423
2021-05-31,ZENSARTECH,0.0565
2021-05-31,NCC,0.1008
2021-05-31,BALRAMCHIN,0.1137
2021-05-31,COHANCE,0.2239
2021-05-31,IDFCFIRSTB,0.245
2021-05-31,APOLLOHOSP,0.9988
2021-05-31,TTML,0.0433
2021-05-31,DEEPAKFERT,0.0566
2021-05-31,MOTHERSON,0.858
2021-05-31,TRIDENT,0.0536
2021-05-31,MPHASIS,0.6914
2021-05-31,AMBER,0.1657
2021-05-31,BSOFT,0.1479
2021-05-31,SBIN,4.616
2021-05-31,NAVINFLUOR,0.3338
2021-05-31,INOXWIND,0.0224
2021-05-31,HBLENGINE,0.0135
2021-05-31,LTM,0.969
2021-05-31,POLYCAB,0.2246
2021-05-31,HINDZINC,0.2599
2021-05-31,JKTYRE,0.0452
2021-05-31,TARIL,0.0038
2021-05-31,BEML,0.0567
2021-05-31,VTL,0.0669
2021-05-31,ADANIGREEN,1.178
2021-05-31,APARINDS,0.0237
2021-05-31,BAJFINANCE,4.0113
2021-05-31,ABCAPITAL,0.2709
2021-05-31,SIEMENS,0.2747
2021-05-31,PCBL,0.0487
2021-05-31,JBCHEPHARM,0.1472
2021-05-31,BLUEDART,0.0862
2021-05-31,LTFOODS,0.0231
2021-05-31,SOBHA,0.0551
2021-05-31,GALLANTT,0.0079
2021-05-31,RHIM,0.0477
2021-05-31,VOLTAS,0.5981
2021-05-31,RKFORGE,0.0282
2021-05-31,EMAMILTD,0.2256
2021-05-31,FLUOROCHEM,0.0791
2021-05-31,INDIANB,0.1075
2021-05-31,ATUL,0.3113
2021-05-31,KIRLOSENG,0.0445
2021-05-31,BHEL,0.2438
2021-05-31,HFCL,0.1307
2021-05-31,CHOLAHLDNG,0.1525
2021-05-31,SCHAEFFLER,0.0985
2021-05-31,AAVAS,0.2165
2021-05-31,IFCI,0.0218
2021-05-31,APOLLOTYRE,0.1486
2021-05-31,ABB,0.1969
2021-05-31,MFSL,0.4467
2021-05-31,SUPREMEIND,0.3251
2021-05-31,GODREJIND,0.0781
2021-05-31,SRF,0.4144
2021-05-31,INFY,5.0
2021-05-31,GAIL,0.531
2021-05-31,COFORGE,0.3918
2021-05-31,TECHNOE,0.0362
2021-05-31,ULTRACEMCO,4.3321
2021-05-31,AMBUJACEM,0.5652
2021-05-31,JBMA,0.0099
