Date,Fixed N,Selected,Ad-hoc,Top Hold.,Top Wt(%),RF (%)
2021-05-31,150,149,False,TATASTEEL,5.0%,3.80%
2021-11-30,150,150,False,SBIN,5.0%,3.80%
2022-05-31,150,150,False,ADANIGREEN,5.0%,4.40%
2022-11-30,150,150,False,ADANIENT,5.0%,6.60%
2023-05-31,150,150,False,ITC,5.0%,6.85%
2023-11-30,150,150,False,LT,5.0%,6.85%
2024-05-31,150,150,False,TRENT,5.0%,6.70%
2024-11-29,150,150,False,TRENT,5.0%,6.70%
2025-05-30,150,150,False,KOTAKBANK,5.0%,6.75%
2025-11-28,150,150,False,BAJFINANCE,5.0%,6.75%
2026-03-30,150,150,True,SBIN,5.0%,6.65%
